,objectid,bezeichnung,nr_stadtbezirk,stadtteil,anzahl,bemerkung,x,y,type
375,643,Weinsbergstr./Geisselstr.,4,Ehrenfeld,1,Weinsbergstr./Geisselstr. Rückseite Fleischhauer,6.916426982530645,50.943600780588866,disabled parking slot
376,961,Venloer Str. 308 ,4,Ehrenfeld,1,Venloer Str. 308 (Nähe Woolworth),6.918865659178787,50.948975927255965,disabled parking slot
377,962,Kopischstr.,9,Dellbrück,2,Für Kita Berg.-Gladbacher-Str. 888a,7.065466863908426,50.9760917085163,disabled parking slot
378,1281,Haydnstr. ,3,Lindenthal,1,Am Stadtwald/Haydnstr.,6.8996533492421825,50.92785348482556,disabled parking slot
379,1297,Lindenthalgürtel/Evangelische Kirche,3,Lindenthal,1,Vor der evang. Kirche,6.912089428548763,50.92322082478569,disabled parking slot
380,1298,An der Decksteiner Mühle,3,Lindenthal,1,"Vor der evang. Kirche, An der Decksteiner Mühle",6.89832502101974,50.916217527883404,disabled parking slot
381,1601,Tempelstr. 39,1,Deutz,1,Tempelstr.,6.973261591748093,50.93505244286437,disabled parking slot
382,1602,Tempelstr./Ecke Deutzer Freiheit,1,Deutz,1,Tempelstr.,6.973388361353377,50.93666845490512,disabled parking slot
383,1921,Hovenstr.,8,Brück,1,Hovenstr. vor Friedhof,7.080356688416391,50.94401901554636,disabled parking slot
384,2241,Bachemer Str.,3,Lindenthal,2,Bachemer Str. 29 (vor dem Krankenhaus),6.923251162210287,50.93097401684395,disabled parking slot
385,2561,Severinsstr. 189,1,Altstadt/Süd,1,Höhe Severinsstr. 189,6.957350115887905,50.92873651468746,disabled parking slot
386,2881,Mauenheimer Str. 92 ,5,Nippes,1,Mauenheimer Str. 92 vor Bürgerzentrum,6.948437149119517,50.96834253124608,disabled parking slot
387,2882,Lindenburger Allee 44,3,Lindenthal,1,Lindenburger Allee 44,6.915810914115223,50.926356767593724,disabled parking slot
388,2883,Gleueler Str. ,3,Lindenthal,1,Gleueler Str. vor Unireha,6.916297035854447,50.92644786162701,disabled parking slot
389,2884,Hansaring 15,1,Neustadt/Nord,1,Hansaring 15,6.944489369904411,50.94603977292673,disabled parking slot
390,2885,Richmodstr.,1,Altstadt/Nord,1,Richmodstr. /Am Alten Posthof,6.9477092888757,50.93789318674033,disabled parking slot
391,2886,Nobelstr. 51,8,Vingst,1,Nobelstr. vor Supermarkt,7.0271463272479755,50.93272029187756,disabled parking slot
392,2887,Venloer Str. 385,4,Ehrenfeld,1,Venloer Str. 385,6.9155824080007875,50.95088621369663,disabled parking slot
393,3201,St.-Tönnisstr. 61,6,Worringen,1,St.-Tönnisstr. 61 (vor Apotheke),6.863033227872642,51.063392038406214,disabled parking slot
394,3202,An den Kreutzmorgen 2,5,Weidenpesch,1,An den Kreuzmorgen (vor Orthopädiepraxis),6.946095535821447,50.98472776614392,disabled parking slot
395,3203,Am Bahnhof,7,Wahn,3,Am Bahnhof Porz Wahn,7.079324973761198,50.85920217490749,disabled parking slot
396,3521,Hallenbad Chorweiler,6,Chorweiler,2,Hallenbad Chorweiler / Liller Str.,6.899951828513465,51.022454036796404,disabled parking slot
397,3841,Dellbrücker Hauptstr. /Im Wieschen,9,Dellbrück,1,Vor Dellbrücker Hauptstr. 49,7.0749786034258,50.974288858628135,disabled parking slot
